student_id,name,subject,grade,semester,year,teacher
S001,Student 001,Mathematics,59.1,Fall,2024,Teacher 3
S001,Student 001,Science,61.7,Spring,2024,Teacher 3
S001,Student 001,English,79.8,Fall,2022,Teacher 2
S001,Student 001,History,89.0,Spring,2024,Teacher 2
S002,Student 002,Mathematics,83.0,Spring,2024,Teacher 1
S002,Student 002,Science,69.6,Fall,2022,Teacher 1
S002,Student 002,English,79.8,Fall,2024,Teacher 4
S002,Student 002,History,100.0,Spring,2024,Teacher 5
S003,Student 003,Mathematics,99.1,Spring,2024,Teacher 1
S003,Student 003,Science,99.0,Fall,2023,Teacher 4
S003,Student 003,English,78.1,Fall,2023,Teacher 1
S003,Student 003,History,98.0,Spring,2023,Teacher 1
S004,Student 004,Mathematics,75.2,Fall,2023,Teacher 3
S004,Student 004,Science,76.2,Fall,2024,Teacher 1
S004,Student 004,English,72.3,Spring,2023,Teacher 2
S004,Student 004,History,69.7,Fall,2022,Teacher 3
S005,Student 005,Mathematics,82.0,Fall,2022,Teacher 4
S005,Student 005,Science,69.2,Fall,2024,Teacher 4
S005,Student 005,English,85.8,Spring,2024,Teacher 3
S005,Student 005,History,89.7,Spring,2022,Teacher 5
S006,Student 006,Mathematics,79.6,Fall,2024,Teacher 3
S006,Student 006,Science,72.0,Spring,2023,Teacher 5
S006,Student 006,English,79.7,Fall,2022,Teacher 3
S006,Student 006,History,71.4,Spring,2022,Teacher 2
S007,Student 007,Mathematics,83.1,Fall,2023,Teacher 5
S007,Student 007,Science,74.9,Spring,2024,Teacher 5
S007,Student 007,English,90.6,Fall,2023,Teacher 2
S007,Student 007,History,77.3,Fall,2022,Teacher 1
S008,Student 008,Mathematics,88.8,Fall,2023,Teacher 3
S008,Student 008,Science,93.5,Spring,2022,Teacher 4
S008,Student 008,English,100.0,Spring,2023,Teacher 2
S008,Student 008,History,84.0,Spring,2024,Teacher 1
S009,Student 009,Mathematics,92.5,Spring,2024,Teacher 1
S009,Student 009,Science,72.0,Spring,2024,Teacher 5
S009,Student 009,English,71.9,Spring,2023,Teacher 5
S009,Student 009,History,77.2,Fall,2023,Teacher 3
S010,Student 010,Mathematics,84.7,Spring,2022,Teacher 2
S010,Student 010,Science,84.7,Spring,2022,Teacher 2
S010,Student 010,English,85.1,Fall,2022,Teacher 4
S010,Student 010,History,69.4,Fall,2022,Teacher 5
S011,Student 011,Mathematics,77.6,Spring,2024,Teacher 1
